freq;unit;coicop;geo\TIME_PERIOD,2019-03 ,2019-04 ,2019-05 ,2019-06 ,2019-07 ,2019-08 ,2019-09 ,2019-10 ,2019-11 ,2019-12 ,2020-01 ,2020-02 ,2020-03 ,2020-04 ,2020-05 ,2020-06 ,2020-07 ,2020-08 ,2020-09 ,2020-10 ,2020-11 ,2020-12 ,2021-01 ,2021-02 ,2021-03
M;RCH_A;CP00;FI,1.1,1.5,1.3,1.1,1,1.2,1,0.9,0.8,1.1,1.2,1.1,0.9,-0.3,-0.1,0.1,0.7,0.3,0.3,0.2,0.2,0.2,1,0.9,1.4
M;RCH_A;CP00;FR,1.3,1.5,1.1,1.4,1.3,1.3,1.1,0.9,1.2,1.6,1.7,1.6,0.8,0.4,0.4,0.2,0.9,0.2,0,0.1,0.2,0,0.8,0.8,1.4
M;RCH_A;CP00;HR,1.1,0.8,1,0.5,0.9,0.6,0.6,0.6,0.8,1.3,1.8,1.2,0.5,-0.1,-0.7,-0.4,-0.6,-0.4,-0.3,-0.2,0,-0.3,0,0.7,1.6
M;RCH_A;CP00;HU,3.8,3.9,4,3.4,3.3,3.2,2.9,3,3.4,4.1,4.7,4.4,3.9,2.5,2.2,2.9,3.9,4,3.4,3,2.8,2.8,2.9,3.3,3.9
M;RCH_A;CP00;IE,1.1,1.7,1,1.1,0.5,0.6,0.6,0.6,0.8,1.1,1.1,0.9,0.5,-0.3,-0.8,-0.6,-0.6,-1.1,-1.2,-1.5,-1,-1,-0.1,-0.4,0.1
M;RCH_A;CP00;IS,1.3,3.2,2.9,2.2,1.6,1.7,2.8,1.9,2.1,0.9,0.7,2.7,1,-0.1,0.9,0.3,-0.1,0.9,1.4,1.7,2.6,2.4,3.4,2.8,3.8
M;RCH_A;CP00;IT,1.1,1.1,0.9,0.8,0.3,0.5,0.2,0.2,0.2,0.5,0.4,0.2,0.1,0.1,-0.3,-0.4,0.8,-0.5,-1,-0.6,-0.3,-0.3,0.7,1,0.6
M;RCH_A;CP00;LT,2.6,2.7,2.5,2.4,2.5,2.5,2,1.5,1.7,2.7,3,2.8,1.7,0.9,0.2,0.9,0.9,1.2,0.6,0.5,0.4,-0.1,0.2,0.4,1.6
M;RCH_A;CP00;LU,2.4,2.2,2.2,1.5,1.6,1.4,1.1,0.8,1,1.8,2.5,1.8,0.3,-0.8,-1.6,-0.4,0.1,-0.2,-0.3,-0.4,-0.7,-0.3,1.1,-0.5,2.5
M;RCH_A;CP00;LV,2.7,3.3,3.5,3.1,3,3.1,2.3,2.2,2,2.1,2.2,2.3,1.4,-0.1,-0.9,-1.1,0.1,-0.5,-0.4,-0.7,-0.7,-0.5,-0.5,-0.2,0.3
M;RCH_A;CP00;MK,2.2 d,2.8 d,1.6 d,-0.2 d,0.3 d,0.4 d,-0.3 d,-0.8 d,-0.6 d,-0.2 d,0.0 d,0.0 d,-0.3 d,-0.7 d,-0.7 d,2.3 d,2.0 d,1.9 d,2.1 d,2.1 d,3.0 d,3.1 d,2.6 d,2.5 d,2.7 d
M;RCH_A;CP00;MT,1.3,1.7,1.7,1.8,1.8,1.9,1.6,1.4,1.3,1.3,1.4,1.1,1.2,1.1,0.9,1,0.7,0.7,0.5,0.6,0.2,0.2,0.2,0.1,0.1
M;RCH_A;CP00;NL,2.9,3,2.3,2.7,2.6,3.1,2.7,2.8,2.6,2.8,1.7,1.3,1.1,1,1.1,1.7,1.6,0.3,1,1.2,0.7,0.9,1.6,1.9,1.9
M;RCH_A;CP00;NO,3.2,3.1,2.9,2.1,1.8,1.5,1.5,1.7,1.5,1.2,1.7,0.7,0.5,0.6,1.1,1.3,1.4,1.6,1.4,1.7,0.4,1.4,2.7,3.6,3.4
M;RCH_A;CP00;PL,1.7,2.1,2.2,2.3,2.5,2.6,2.4,2.3,2.4,3,3.8,4.1,3.9,2.9,3.4,3.8,3.7,3.7,3.8,3.8,3.7,3.4,3.6,3.6,4.4
